,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category,dor_threshold
Clec1b,0.9948486866812005,1.6356975198122705,6.166710795589614,0.876207729468599,1.5209780413075562,-0.0072487860735922505,8.85218104884,0.9861401131391039,0.013859886860896235,0.1112908915987463,5.6664901753929175,0.15764914003547037,1.5209780413075562,2.6667602027619512,0.25,0.667270629862,1.55529014644,0.8880195165779999,0.968776013752,2.78573954176,3.09416816221,Unimodal,
Kdm3a,0.0,2.407548204207416,-0.7840191286110052,0.32608695652173914,3.8479403564194095,0.20923919561419613,10.1266759084,0.7145196862122343,0.28548031378776767,0.8726425899739463,6.899449075911062,1.278247274751829,2.593177196717428,8.692586215216119,0.25,0.0,5.2589843764025,5.2589843764025,1.26803952091,3.43225134014,4.74864302558,Bimodal,0.95
Coro2b,0.004684038799610324,2.3200596299989913,0.32705966020227173,0.6582125603864735,2.383818910978896,0.004596849439915396,9.47557694839,0.9195077370066459,0.08049226299335499,0.3355460086973388,6.289079125638077,0.48737222836914257,2.3838189109788956,5.370520557150273,0.25,0.8277395773109999,2.9129441879625,2.0852046106515,1.2906663867,3.18359606954,3.8795374542,Bimodal,
8430408G22Rik,7.23673887481624e-08,3.1210690622342,-0.9939786049454229,0.8840579710144928,2.983471621076854,0.005662506281945867,9.06785652679,0.9649624567456996,0.035037543254300335,0.0988982311290437,7.148808101992213,0.17250609169944234,2.983471621076854,8.154646803446877,0.25,0.825297757088,6.4650740211725,5.6397762640844995,1.449779159215,3.61206111509,4.17557236807,Bimodal,
Clec9a,1.0,2.0817168283195224,140.08928513941726,0.9655797101449275,2.2802925779402283,-0.009360984928503013,9.61423335323,0.9939613526570048,0.006038647342995169,0.035598838580329896,7.138098863937001,0.06986961462686686,0.07848833148707307,0.37287789829572615,0.25,0.0,0.0,0.0,0.0,3.11340959158,4.60725345268,Discarded,0.95
Phf6,0.0,1.988667232577277,-1.389024452814927,0.035628019323671496,5.025501347599057,2.0175466942178266,10.1352260111,0.5056089094804679,0.4943910905195322,2.3423535943844866,7.407370222131018,1.621522088035533,4.846452688475661,8.039167934112674,0.25,2.1971630124875,7.542022078795,5.3448590663074995,4.778526514939999,3.93279163957,5.8286619266,Bimodal,0.95
Usp14,0.0,2.2080798156522357,-1.2249874108203174,0.00785024154589372,6.109964090003126,8.24556991292151,11.0887499254,0.3740235958837055,0.6259764041162951,2.8293445963328745,7.993524553388288,1.280649145829437,6.061999396059865,7.529149804506808,0.25,3.3377862684550004,8.354257860455,5.016471592,7.140886510085,4.55346256356,6.02207634976,Bimodal,0.95
Tmem167b,0.0,2.4308128719159376,0.09302257530985303,0.39371980676328505,3.448330880332945,0.07298217984867184,9.48682566431,0.7882500866957963,0.21174991330420317,0.7716803547184716,7.000605491793073,1.0959997022317172,2.0906547124723893,7.576674164320672,0.25,0.0,2.8380775697825,2.8380775697825,0.9248076093625,3.56115691122,4.65444646596,Bimodal,0.95
Kbtbd7,0.04983004172869432,2.1371069082297462,-0.22095214096221305,0.571256038647343,2.928988325631092,-0.0005564494129407516,10.9100511713,0.8834072126017265,0.11659278739826043,0.5134817330365344,6.880121908767568,0.9141148000931,2.9289883256310913,6.9787893462167006,0.25,0.98865992819125,4.46492283794,3.4762629097487494,1.6714715553250001,3.5537141794,4.49163180292,Bimodal,
Rag2,0.8567499674782886,1.7723833116943184,4.903879311323174,0.4601449275362319,1.9286625973273412,0.0029014594106179237,10.3482972174,0.9434728875310154,0.05652711246898576,0.6697337838953686,7.241173330657092,0.7331485084735556,1.9286625973273412,3.9168995874429515,0.25,0.8455160844482499,1.9170902082075,1.0715741237592502,1.2745508328000001,3.89582233735,4.70325868611,Unimodal,
Hmgcs1,0.0,2.367987673554322,-0.9388516968143343,0.2741545893719807,4.0325574678448035,0.2594679021710409,10.9251878825,0.6856845507666285,0.3143154492333713,1.0335218323746058,7.057697555752502,1.3948467052923896,2.9270133311288973,9.221830907126195,0.25,0.0,5.90289817813,5.90289817813,1.6434343621099998,3.53786642019,4.91553511603,Bimodal,0.95
Adgre1,0.9754070788586158,1.1985544851718577,12.928938045238556,0.8913043478260869,1.3184269918429166,0.0036835673126342505,9.29537279254,0.9921479420328387,0.00785205796716142,0.10216407847757036,5.34196279322896,0.14889275920387116,1.3184269918429166,1.7982761943411159,0.25,0.61459387936425,1.43766716346,0.82307328409575,0.9937137552099999,2.71472399877,3.02347812607,Unimodal,
