,Dip,BI,Kurtosis,DropOutRate,MeanNZ,DenPeak,Amplitude,gaussian_prob1,gaussian_prob2,gaussian_mean1,gaussian_mean2,gaussian_variance,mean,variance,unimodal_margin_quantile,unimodal_low_quantile,unimodal_high_quantile,IQR,q50,bim_thresh_down,bim_thresh_up,Category
Clec1b,0.9948486866812005,1.6356975198122705,6.166710795589614,0.876207729468599,1.5209780413075562,-0.0072487860735922505,8.85218104884,0.9861401131391039,0.013859886860896235,0.1112908915987463,5.6664901753929175,0.15764914003547037,1.5209780413075562,2.6667602027619512,0.25,0.667270629862,1.55529014644,0.8880195165779999,0.968776013752,2.78573954176,3.09416816221,Unimodal
Mns1,0.0,2.066576659635321,-1.3661198724364272,0.10024154589371981,4.743785518602449,1.8848479413958281,10.8627141244,0.6074550805636167,0.39254491943638276,1.9491253830371016,7.857075344845855,1.9488306713678054,4.743785518602449,9.166516873998411,0.25,1.9944183231850001,7.5697067830625,5.5752884598775,3.7981405378749997,4.04307166303,6.0266385743,Bimodal
Zfp758,0.0,2.656695535764243,-1.0775300027095787,0.41002415458937197,3.3923668244941463,0.03237843648256744,10.114595524,0.8029723848551729,0.19702761514482503,0.7167571155447623,7.23694652521129,0.9529378175868378,3.3923668244941463,8.305332858306611,0.25,1.10381435839,6.43006900781,5.32625464942,1.9118468135,3.69163609806,4.63589687208,Bimodal
Zfp655,0.0,2.3754387007978113,-1.4294024276971096,0.1793478260869565,4.114937488980023,0.8875141841893199,10.4531057042,0.653966800698767,0.3460331993012336,1.2968659016749753,7.308041992215319,1.4491212156314075,4.114937488980023,8.699362201968468,0.25,1.41980685289,7.12583710701,5.70603025412,2.97043983362,3.74035568047,5.2485175267,Bimodal
Srxn1,0.0011241211621705327,2.538884263242524,-0.8938485691965892,0.6902173913043478,3.146476195091351,0.00691127636429667,10.0740960443,0.8955319889863157,0.10446801101368514,0.3036128366895708,6.72769194676932,0.598963535212225,3.146476195091351,7.578088943317799,0.25,0.962014991805,5.71971239303,4.757697401225,1.68241798732,3.4313879514,4.04171662386,Bimodal
Sox6,0.15994302420222262,1.9934886103514717,1.7411869679859295,0.44323671497584544,2.2655083482200467,0.018416565296039078,9.78240275852,0.9103659006163894,0.0896340993836157,0.6968098631673758,6.995104941931258,0.8145312131887341,2.2655083482200467,5.007343087316679,0.25,0.8947171549495001,2.2841510268775,1.3894338719279997,1.37661599053,3.76466546384,4.54075795968,Unimodal
Ptprs,0.0,1.831525893092229,-1.2914648920957261,0.10265700483091787,4.596385177360335,1.702050454321507,10.5453069538,0.5137857357852715,0.48621426421472846,1.7327348571751238,6.651963602327441,1.8020948619474322,4.596385177360335,6.5805456160279565,0.25,2.1432371415875,6.813627916350001,4.670390774762501,4.780314540505,3.11836584457,5.29251147905,Bimodal
Arntl,0.0,2.6899903364949163,-1.3256136868973873,0.4245169082125604,3.558415766213936,0.05790963669755578,10.3087106376,0.7835009304224679,0.2164990695775266,0.664216947697967,7.054965702452085,0.9574092062863233,3.558415766213936,8.335374374439116,0.25,1.09573780561,6.63715335168,5.5414155460700005,2.06151190837,3.60024372378,4.49782553602,Bimodal
Galns,0.0,2.5328969552288028,-1.2739066332289266,0.4227053140096618,3.5888376444780263,0.04402720236820823,9.78746000226,0.7912534637192116,0.20874653628078169,0.7387456620798503,7.124821631102446,1.0499485533975077,3.5888376444780263,8.051063833085596,0.25,1.182321835735,6.743514218855,5.56119238312,2.14701691595,3.6527203878,4.64984213041,Bimodal
Heatr5b,0.9790979287033104,1.8823726511908958,0.21544769700124844,0.2964975845410628,2.6917803240020395,0.07333859349683713,9.65323510138,0.8288510726275171,0.1711489273724827,0.9754053110441757,6.340724643590214,1.1524726493715345,2.6917803240020395,5.299067168282087,0.25,1.02226873609,3.84164087973,2.81937214364,1.68167926875,3.35126574844,4.62988974455,Unimodal
Gm43024,0.9906170651270904,1.026209447008726,18.458906418917742,0.39371980676328505,1.4694207603531713,0.011930525264693737,9.6983459421,0.9831415329466097,0.01685846705339217,0.7819740572278769,7.2420302984130815,0.656802362293826,1.4694207603531713,1.3754451779837176,0.25,0.8349363839967501,1.7205834639925,0.8856470799957499,1.21419814479,3.92793737371,4.87824618615,Unimodal
Grina,0.0,2.573564424455698,-1.5276515355192948,0.08574879227053141,5.227164206490511,7.678589205084639,10.5254976219,0.4707417094555883,0.5292582905444111,1.626052320137456,7.583236033601031,1.3349415414142782,5.22716420649051,8.793918312752439,0.25,2.07582868662,7.7887892604874995,5.7129605738675,6.38367343277,3.91655374849,5.25665167268,Bimodal
Cep83os,0.0,2.4118785586948186,-0.9872168186921972,0.4196859903381642,3.414620547631643,0.05224297056875793,10.8587877791,0.7960392543484857,0.20396074565151118,0.7041724171778483,6.967042854386916,1.0947553003028758,3.414620547631643,7.975399989083167,0.25,1.12189611731,6.16634779769,5.04445168038,1.93328146319,3.54404987372,4.60333325213,Bimodal
