	label	label_color
ng1obs0	1	#506E03
ng1obs1	1	#506E03
ng1obs2	1	#506E03
ng1obs3	1	#506E03
ng1obs4	1	#506E03
ng1obs5	1	#506E03
ng1obs6	1	#506E03
ng1obs7	1	#506E03
ng1obs8	1	#506E03
ng1obs9	1	#506E03
ng1obs10	1	#506E03
ng1obs11	1	#506E03
ng1obs12	1	#506E03
ng1obs13	1	#506E03
ng1obs14	1	#506E03
ng1obs15	1	#506E03
ng1obs16	1	#506E03
ng1obs17	1	#506E03
ng1obs18	1	#506E03
ng1obs19	1	#506E03
ng1obs20	1	#506E03
ng1obs21	1	#506E03
ng1obs22	1	#506E03
ng1obs23	1	#506E03
ng1obs24	1	#506E03
ng1obs25	1	#506E03
ng1obs26	1	#506E03
ng1obs27	1	#506E03
ng1obs28	1	#506E03
ng1obs29	1	#506E03
ng1obs30	1	#506E03
ng1obs31	1	#506E03
ng1obs32	1	#506E03
ng1obs33	1	#506E03
ng1obs34	1	#506E03
ng1obs35	1	#506E03
ng1obs36	1	#506E03
ng1obs37	1	#506E03
ng1obs38	1	#506E03
ng1obs39	1	#506E03
ng1obs40	1	#506E03
ng1obs41	1	#506E03
ng1obs42	1	#506E03
ng1obs43	1	#506E03
ng1obs44	1	#506E03
ng1obs45	1	#506E03
ng1obs46	1	#506E03
ng1obs47	1	#506E03
ng1obs48	1	#506E03
ng1obs49	1	#506E03
ng1obs50	1	#506E03
ng1obs51	1	#506E03
ng1obs52	1	#506E03
ng1obs53	1	#506E03
ng1obs54	1	#506E03
ng1obs55	1	#506E03
ng1obs56	1	#506E03
ng1obs57	1	#506E03
ng1obs58	1	#506E03
ng1obs59	1	#506E03
ng1obs60	1	#506E03
ng1obs61	1	#506E03
ng1obs62	1	#506E03
ng1obs63	1	#506E03
ng1obs64	1	#506E03
ng1obs65	1	#506E03
ng1obs66	1	#506E03
ng1obs67	1	#506E03
ng1obs68	1	#506E03
ng1obs69	1	#506E03
ng1obs70	1	#506E03
ng1obs71	1	#506E03
ng1obs72	1	#506E03
ng1obs73	1	#506E03
ng1obs74	1	#506E03
ng1obs75	1	#506E03
ng1obs76	1	#506E03
ng1obs77	1	#506E03
ng1obs78	1	#506E03
ng1obs79	1	#506E03
ng1obs80	1	#506E03
ng1obs81	1	#506E03
ng1obs82	1	#506E03
ng1obs83	1	#506E03
ng1obs84	1	#506E03
ng1obs85	1	#506E03
ng1obs86	1	#506E03
ng1obs87	1	#506E03
ng1obs88	1	#506E03
ng1obs89	1	#506E03
ng1obs90	1	#506E03
ng1obs91	1	#506E03
ng1obs92	1	#506E03
ng1obs93	1	#506E03
ng1obs94	1	#506E03
ng1obs95	1	#506E03
ng1obs96	1	#506E03
ng1obs97	1	#506E03
ng1obs98	1	#506E03
ng1obs99	1	#506E03
ng1obs100	1	#506E03
ng1obs101	1	#506E03
ng1obs102	1	#506E03
ng1obs103	1	#506E03
ng1obs104	1	#506E03
ng1obs105	1	#506E03
ng1obs106	1	#506E03
ng1obs107	1	#506E03
ng1obs108	1	#506E03
